Incident.year,Latitude,Longitude,Victim.injury,Species.clean,Activity.clean,State,Location,Provoked.unprovoked,Decade
1901,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1900
1901,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1900
1901,-27.46666667,153.0,injured,Bull Shark,Swimming,QLD,"brisbane river, south brisbane cemetery",unprovoked,1900
1902,-27.48333333,153.0,injured,Bull Shark,Swimming,QLD,"brisbane river, highgate hill",unprovoked,1900
1902,-27.43333333,153.1666667,injured,Whaler Shark,Swimming,QLD,"moreton bay, wynnum south",provoked,1900
1903,-33.81666667,151.15,fatal,Bull Shark,Swimming,NSW,"lane cove river, sydney",unprovoked,1900
1903,-36.63333333,150.0,uninjured,Bull Shark,Fishing,NSW,"middle lagoon, tanja",provoked,1900
1903,-27.7,153.2833333,fatal,Bull Shark,Swimming,QLD,logan river,unprovoked,1900
1903,-34.66666667,150.85,uninjured,Whaler Shark,Diving,NSW,kiama,provoked,1900
1904,-27.41666667,153.1166667,injured,Bull Shark,Swimming,QLD,"brisbane river, pinkenba",unprovoked,1900
1905,-28.8,153.2666667,injured,Bull Shark,Swimming,NSW,lismore - wilsons river,unprovoked,1900
1905,-10.2,142.15,fatal,Tiger Shark,Snorkelling,QLD,"badu island, torres strait",provoked,1900
1906,-33.98333333,151.0666667,fatal,Bull Shark,Swimming,NSW,georges river,unprovoked,1900
1906,-14.66666667,145.45,fatal,Tiger Shark,Swimming,QLD,lizard island,unprovoked,1900
1906,-9.95,142.1666667,fatal,Tiger Shark,Snorkelling,QLD,"torres strait, mabuiag island ",provoked,1900
1906,-35.7,150.1833333,uninjured,Wobbegong,Boating,NSW,batemans bay,unprovoked,1900
1907,-19.25,146.8166667,fatal,Bull Shark,Swimming,QLD,"townsville, ross creek",unprovoked,1900
1907,-28.85,113.9,injured,Tiger Shark,Snorkelling,WA,"geraldton, murray island - off geraldton",provoked,1900
1907,-32.93333333,151.75,injured,White Shark,Swimming,NSW,"merewether beach, newcastle",unprovoked,1900
1907,-33.78333333,151.2333333,fatal,Bull Shark,Swimming,NSW,"middle harbour, sugarloaf bay, sydney",unprovoked,1900
1909,-33.48333333,151.3,injured,Bull Shark,Swimming,NSW,"brisbane waters, woy woy",unprovoked,1900
1910,-32.9,151.7666667,fatal,Bull Shark,Swimming,NSW,newcastle harbour,unprovoked,1910
1910,-33.31666667,115.6166667,injured,White Shark,Swimming,WA,bunbury ,unprovoked,1910
1910,-34.36666667,115.1166667,uninjured,Unknown,Swimming,WA,cape leeuwin,unprovoked,1910
1910,-21.16666667,149.2333333,injured,Unknown,Swimming,QLD,mackay (9 miles away),unprovoked,1910
